;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024
Baden-Württemberg;10879618;10951893;11023425;11069533;11100394;11103043;11124642;11167721;11230740;11245898
Bayern;12843514;12930751;12997204;13076721;13124737;13140183;13176989;13105221;13176426;13248928
Berlin;3520031;3574830;3613495;3644826;3669491;3664088;3677472;3632853;3662381;3685265
Brandenburg;2484826;2494648;2504040;2511917;2521893;2531071;2537868;2545159;2554464;2556747
Bremen;671489;678753;681032;682986;681202;680130;676463;695758;702655;704881
Hamburg;1787408;1810438;1830584;1841179;1847253;1852478;1853935;1832675;1851596;1862565
Hessen;6176172;6213088;6243262;6265809;6288080;6293154;6295017;6236933;6267546;6280793
Mecklenburg-Vorpommern;1612362;1610674;1611119;1609675;1608138;1610774;1611160;1576049;1578041;1573597
Niedersachsen;7926599;7945685;7962775;7982448;7993608;8003421;8027031;7982947;8008135;8004489
Nordrhein-Westfalen;17865516;17890100;17912134;17932651;17947221;17925570;17924591;17964420;18017520;18034454
Rheinland-Pfalz;4052803;4066053;4073679;4084844;4093903;4098391;4106485;4108555;4125163;4129569
Saarland;995597;996651;994187;990509;986887;983991;982348;1011891;1014047;1012141
Sachsen;4084851;4081783;4081308;4077937;4071971;4056941;4043002;4049967;4054689;4042422
Sachsen-Anhalt;2245470;2236252;2223081;2208321;2194782;2180684;2169253;2150239;2144570;2135597
Schleswig-Holstein;2858714;2881926;2889821;2896712;2903773;2910875;2922005;2939283;2953202;2959517
Thüringen;2170714;2158128;2151205;2143145;2133378;2120237;2108863;2118830;2114870;2100277
