year,state,value
2016,Bremen,5156
2021,Niedersachsen,38269
2021,Schleswig-Holstein,13923
2022,Hessen,24748
2022,Bayern,61945
2022,,39766
2023,Baden-Württemberg,61255
2023,Sachsen-Anhalt,14505
2024,Berlin,22744
2024,Thüringen,13990
2025,Nordrhein-Westfalen,3165
2025,Rheinland-Pfalz,2963
2015,Niedersachsen,38451
2015,Schleswig-Holstein,19718
2014,Nordrhein-Westfalen,367
2017,Mecklenburg-Vorpommern,14753
2019,Bremen,5187
2023,Nordrhein-Westfalen,142052
2023,Rheinland-Pfalz,29117
2025,Baden-Württemberg,343
2025,Sachsen-Anhalt,468
2015,Brandenburg,16021
2015,Hamburg,10446
2015,Saarland,6304
2016,Sachsen,25410
2017,Bayern,101000
2017,Hessen,46112
2017,,66693
2023,Thüringen,18839
2023,Berlin,23131
2024,Baden-Württemberg,54845
2024,Sachsen-Anhalt,9352
2015,Thüringen,19383
2015,Berlin,27545
2014,Hamburg,572
2016,Mecklenburg-Vorpommern,10035
2023,Brandenburg,19757
2023,Hamburg,12648
2023,Saarland,7389
2017,Bremen,5165
2019,Mecklenburg-Vorpommern,12279
2021,Thüringen,13469
2021,Berlin,22968
2022,Sachsen,18332
2024,Niedersachsen,36548
2024,Schleswig-Holstein,13389
2025,Brandenburg,474
2025,Hamburg,471
2025,Saarland,414
2016,Niedersachsen,34923
2017,Thüringen,24767
2016,Schleswig-Holstein,18611
2017,Berlin,30149
2022,Baden-Württemberg,50370
2021,Bremen,5315
2023,Bayern,79153
2023,Hessen,33967
2022,Sachsen-Anhalt,5389
2023,,45916
2015,Bremen,5221
2018,Brandenburg,253
2018,Saarland,536
2019,Niedersachsen,39373
2019,Schleswig-Holstein,26377
2022,Nordrhein-Westfalen,99872
2022,Rheinland-Pfalz,21355
2024,Mecklenburg-Vorpommern,8882
2025,Hessen,134
2025,Bayern,2591
2025,,1621
2015,Nordrhein-Westfalen,159752
2015,Rheinland-Pfalz,33747
2014,Schleswig-Holstein,355
2016,Bayern,83536
2016,Hessen,34288
2017,Sachsen,38461
2016,,51269
2021,Baden-Württemberg,58103
2021,Sachsen-Anhalt,10043
2023,Niedersachsen,43139
2023,Schleswig-Holstein,16415
2022,Bremen,4867
2015,Bayern,87080
2015,Hessen,35680
2011,Nordrhein-Westfalen,434
2015,,55732
2016,Nordrhein-Westfalen,139056
2016,Rheinland-Pfalz,30732
2017,Brandenburg,21926
2017,Hamburg,14049
2017,Saarland,6232
2019,Baden-Württemberg,74665
2019,Sachsen-Anhalt,17896
2017,Baden-Württemberg,95320
2017,Sachsen-Anhalt,18286
2019,Brandenburg,20718
2019,Hamburg,14004
2019,Saarland,6940
2021,Sachsen,28881
2022,Thüringen,12699
2022,Berlin,20457
2024,Bayern,68784
2024,Hessen,28690
2024,,42928
2025,Mecklenburg-Vorpommern,1073
2018,Rheinland-Pfalz,1266
2018,Nordrhein-Westfalen,451
2019,Thüringen,19095
2019,Berlin,28819
2021,Mecklenburg-Vorpommern,8342
2022,Brandenburg,17064
2022,Hamburg,11028
2022,Saarland,5387
2015,Mecklenburg-Vorpommern,10237
2016,Thüringen,12566
2017,Niedersachsen,41804
2017,Schleswig-Holstein,26589
2016,Berlin,26244
2023,Sachsen,33967
2024,Bremen,6335
2016,Baden-Württemberg,53893
2016,Sachsen-Anhalt,15427
2018,Thüringen,1064
2019,Nordrhein-Westfalen,167619
2019,Rheinland-Pfalz,34037
2020,Baden-Württemberg,1301
2021,Bayern,71139
2021,Hessen,27837
2022,Schleswig-Holstein,12340
2022,Niedersachsen,32877
2021,,44565
2023,Bremen,4388
2024,Sachsen,28137
2019,Sachsen,34342
2021,Brandenburg,17049
2021,Hamburg,10699
2021,Saarland,5908
2022,Mecklenburg-Vorpommern,6230
2024,Nordrhein-Westfalen,116169
2024,Rheinland-Pfalz,20981
2025,Berlin,1473
2025,Thüringen,817
2015,Baden-Württemberg,69746
2015,Sachsen-Anhalt,14334
2019,Bayern,94732
2019,Hessen,39818
2019,,64481
2021,Nordrhein-Westfalen,118194
2021,Rheinland-Pfalz,28895
2024,Saarland,5452
2024,Brandenburg,14926
2024,Hamburg,11026
2025,Niedersachsen,2425
2015,Sachsen,31109
2017,Nordrhein-Westfalen,193666
2017,Rheinland-Pfalz,38638
2016,Brandenburg,15074
2016,Hamburg,10863
2016,Saarland,5506
2023,Mecklenburg-Vorpommern,12056
