state,year,forecast_demand,forecast_supply,forecast_gap
Baden-Württemberg,2026,19146.793507945207,27318.06,8171.266492054794
Baden-Württemberg,2027,19108.499920929316,27044.879399999998,7936.379479070682
Baden-Württemberg,2028,19070.28292108746,26774.430606,7704.147684912543
Baden-Württemberg,2029,19032.142355245283,26506.68629994,7474.543944694717
Baden-Württemberg,2030,18994.078070534793,26241.619436940597,7247.541366405803
Baden-Württemberg,2031,18956.089914393724,25979.203242571195,7023.113328177471
Baden-Württemberg,2032,18918.177734564935,25719.41121014548,6801.233475580546
Baden-Württemberg,2033,18880.341379095804,25462.217098044028,6581.875718948224
Baden-Württemberg,2034,18842.580696337616,25207.594927063587,6365.01423072597
Baden-Württemberg,2035,18804.89553494494,24955.518977792948,6150.623442848009
Baden-Württemberg,2036,18767.285743875047,24705.96378801502,5938.6780441399715
Baden-Württemberg,2037,18729.7511723873,24458.90415013487,5729.15297774757
Baden-Württemberg,2038,18692.291670042527,24214.31510863352,5522.0234385909935
Baden-Württemberg,2039,18654.90708670244,23972.171957547183,5317.264870844745
Baden-Württemberg,2040,18617.597272529034,23732.450237971712,5114.852965442678
Bayern,2026,25390.1108909589,35330.625,9940.514109041102
Bayern,2027,25339.330669176983,34977.31875,9637.988080823015
Bayern,2028,25288.652007838627,34627.5455625,9338.893554661376
Bayern,2029,25238.07470382295,34281.270106874996,9043.195403052046
Bayern,2030,25187.598554415305,33938.45740580625,8750.858851390945
Bayern,2031,25137.223357306473,33599.072831748184,8461.849474441711
Bayern,2032,25086.948910591862,33263.0821034307,8176.133192838839
Bayern,2033,25036.775012770675,32930.451282396396,7893.676269625721
Bayern,2034,24986.701462745135,32601.14676957243,7614.445306827296
Bayern,2035,24936.728059819645,32275.135301876708,7338.407242057063
Bayern,2036,24886.854603700005,31952.38394885794,7065.529345157935
Bayern,2037,24837.080894492607,31632.86010936936,6795.779214876755
Bayern,2038,24787.40673270362,31316.531508275664,6529.124775572043
Bayern,2039,24737.83191923821,31003.36619319291,6265.534273954698
Bayern,2040,24688.356255399736,30693.33253126098,6004.976275861245
Berlin,2026,8136.97344,11987.414999999999,3850.4415599999993
Berlin,2027,8120.69949312,11867.54085,3746.8413568799997
Berlin,2028,8104.45809413376,11748.8654415,3644.40734736624
Berlin,2029,8088.249177945492,11631.376787084999,3543.1276091395066
Berlin,2030,8072.072679589602,11515.063019214149,3442.9903396245472
Berlin,2031,8055.928534230422,11399.912389022009,3343.983854791587
Berlin,2032,8039.816677161962,11285.913265131787,3246.096587969825
Berlin,2033,8023.737043807637,11173.05413248047,3149.317088672834
Berlin,2034,8007.6895697200225,11061.323591155666,3053.6340214356433
Berlin,2035,7991.674190580582,10950.710355244108,2959.0361646635256
Berlin,2036,7975.69084219942,10841.203251691668,2865.5124094922476
Berlin,2037,7959.739460515022,10732.791219174751,2773.051758659729
Berlin,2038,7943.819981593992,10625.463306983002,2681.643325389009
Berlin,2039,7927.932341630803,10519.208673913172,2591.2763322823685
Berlin,2040,7912.076476947543,10414.016587174041,2501.9401102264983
Brandenburg,2026,3859.0357764383566,7623.0,3763.9642235616434
Brandenburg,2027,3851.31770488548,7546.7699999999995,3695.4522951145195
Brandenburg,2028,3843.615069475709,7471.3023,3627.6872305242914
Brandenburg,2029,3835.9278393367576,7396.589276999999,3560.6614376632415
Brandenburg,2030,3828.255983658084,7322.623384229999,3494.367400571915
Brandenburg,2031,3820.599471690768,7249.3971503877,3428.797678696932
Brandenburg,2032,3812.958272747386,7176.903178883822,3363.9449061364357
Brandenburg,2033,3805.3323562018913,7105.134147094985,3299.8017908930933
Brandenburg,2034,3797.721691489488,7034.082805624034,3236.3611141345464
Brandenburg,2035,3790.1262481065087,6963.741977567794,3173.615729461285
Brandenburg,2036,3782.5459956102954,6894.104557792116,3111.5585621818204
Brandenburg,2037,3774.9809036190754,6825.163512214195,3050.1826085951197
Brandenburg,2038,3767.4309418118373,6756.911877092052,2989.480935280215
Brandenburg,2039,3759.896079928213,6689.342758321132,2929.4466783929192
Brandenburg,2040,3752.376287768357,6622.449330737921,2870.0730429695636
Bremen,2026,3534.866768249863,5254.806149999999,1719.9393817501364
Bremen,2027,3527.7970347133632,5202.2580885,1674.4610537866365
Bremen,2028,3520.7414406439366,5150.235507615,1629.4940669710631
Bremen,2029,3513.699957762649,5098.73315253885,1585.033194776201
Bremen,2030,3506.6725578471237,5047.745821013462,1541.0732631663382
Bremen,2031,3499.6592127314293,4997.268362803326,1497.6091500718971
Bremen,2032,3492.659894305966,4947.295679175293,1454.635784869327
Bremen,2033,3485.6745745173544,4897.82272238354,1412.1481478661858
Bremen,2034,3478.7032253683196,4848.844495159705,1370.1412697913852
Bremen,2035,3471.7458189175827,4800.356050208108,1328.6102312905255
Bremen,2036,3464.8023272797477,4752.352489706027,1287.5501624262793
Bremen,2037,3457.8727226251885,4704.828964808966,1246.9562421837772
Bremen,2038,3450.956977179938,4657.780675160877,1206.823697980939
Bremen,2039,3444.055063225578,4611.202868409268,1167.1478051836903
Bremen,2040,3437.166953099127,4565.090839725175,1127.923886626048
Hamburg,2026,3907.0775824657535,5691.015,1783.9374175342468
Hamburg,2027,3899.263427300822,5634.10485,1734.8414226991777
Hamburg,2028,3891.4649004462203,5577.7638015,1686.29890105378
Hamburg,2029,3883.681970645328,5521.986163484999,1638.3041928396715
Hamburg,2030,3875.9146067040374,5466.76630185015,1590.8516951461124
Hamburg,2031,3868.162777490629,5412.098638831649,1543.9358613410195
Hamburg,2032,3860.426451935648,5357.977652443332,1497.551200507684
Hamburg,2033,3852.7055990317767,5304.3978759188985,1451.6922768871218
Hamburg,2034,3845.0001878337134,5251.353897159709,1406.3537093259956
Hamburg,2035,3837.3101874580457,5198.840358188112,1361.5301707300664
Hamburg,2036,3829.6355670831294,5146.851954606231,1317.2163875231013
Hamburg,2037,3821.9762959489635,5095.383435060169,1273.4071391112057
Hamburg,2038,3814.3323433570654,5044.429600709566,1230.097257352501
Hamburg,2039,3806.703678670351,4993.985304702472,1187.2816260321206
Hamburg,2040,3799.090271313011,4944.045451655446,1144.9551803424356
Hessen,2026,21120.648486198355,30705.06285,9584.414363801643
Hessen,2027,21078.40718922596,30398.0122215,9319.605032274041
Hessen,2028,21036.250374847506,30094.032099285,9057.781724437493
Hessen,2029,20994.17787409781,29793.091778292146,8798.913904194334
Hessen,2030,20952.189518349616,29495.16086050923,8542.971342159613
Hessen,2031,20910.285139312917,29200.209251904133,8289.924112591216
Hessen,2032,20868.46456903429,28908.207159385092,8039.742590350801
Hessen,2033,20826.727639896224,28619.125087791243,7792.397447895019
Hessen,2034,20785.07418461643,28332.93383691333,7547.859652296898
Hessen,2035,20743.504036247195,28049.604498544195,7306.1004622969995
Hessen,2036,20702.017028174705,27769.108453558754,7067.091425384049
Hessen,2037,20660.612994118354,27491.417369023166,6830.804374904812
Hessen,2038,20619.291768130115,27216.503195332934,6597.211427202819
Hessen,2039,20578.053184593857,26944.338163379605,6366.2849787857485
Hessen,2040,20536.89707822467,26674.894781745807,6137.997703521138
