state,year,population
Baden-Württemberg,2025,11252601.355687322
Baden-Württemberg,2026,11270163.760653868
Baden-Württemberg,2027,11285720.960345335
Baden-Württemberg,2028,11299497.2220348
Baden-Württemberg,2029,11311692.753768645
Baden-Württemberg,2030,11322486.05952281
Baden-Württemberg,2031,11332036.114989936
Baden-Württemberg,2032,11340484.365203533
Baden-Württemberg,2033,11347956.549014263
Baden-Württemberg,2034,11354564.358046256
Baden-Württemberg,2035,11360406.939447897
Baden-Württemberg,2036,11365572.252732303
Baden-Württemberg,2037,11370138.29145462
Baden-Württemberg,2038,11374174.180536903
Baden-Württemberg,2039,11377741.159837415
Bayern,2025,13208461.560976036
Bayern,2026,13214101.689882971
Bayern,2027,13218334.813110063
Bayern,2028,13221511.334160062
Bayern,2029,13223894.650770653
Bayern,2030,13225682.644968698
Bayern,2031,13227023.915036356
Bayern,2032,13228030.0139419
Bayern,2033,13228784.6644252
Bayern,2034,13229350.690687042
Bayern,2035,13229775.228589313
Bayern,2036,13230093.6397106
Bayern,2037,13230332.45046979
Bayern,2038,13230511.558466876
Bayern,2039,13230645.888349593
Berlin,2025,3669960.2152511715
Berlin,2026,3670200.8198977304
Berlin,2027,3670337.3569226856
Berlin,2028,3670414.8347720383
Berlin,2029,3670458.7984202486
Berlin,2030,3670483.7445786283
Berlin,2031,3670497.8995859874
Berlin,2032,3670505.9314162578
Berlin,2033,3670510.4888232006
Berlin,2034,3670513.07477516
Berlin,2035,3670514.54208804
Berlin,2036,3670515.374665789
Berlin,2037,3670515.8470841316
Berlin,2038,3670516.115142048
Berlin,2039,3670516.267242492
Brandenburg,2025,2564802.4330166797
Brandenburg,2026,2570607.4632452973
Brandenburg,2027,2576084.121277879
Brandenburg,2028,2581249.6512407237
Brandenburg,2029,2586120.5446230974
Brandenburg,2030,2590712.5549675953
Brandenburg,2031,2595040.714739449
Brandenburg,2032,2599119.3539711013
Brandenburg,2033,2602962.1203212817
Brandenburg,2034,2606582.000227836
Brandenburg,2035,2609991.3408707627
Brandenburg,2036,2613201.872696194
Brandenburg,2037,2616224.7322835196
Brandenburg,2038,2619070.4853665875
Brandenburg,2039,2621749.1498459624
Bremen,2025,703131.3046232889
Bremen,2026,706390.2205506281
Bremen,2027,709664.2406983664
Bremen,2028,712953.4350668658
Bremen,2029,716257.8739808694
Bremen,2030,719577.6280910043
Bremen,2031,722912.7683752921
Bremen,2032,726263.3661406647
Bremen,2033,729629.4930244887
Bremen,2034,733011.2209960959
Bremen,2035,736408.6223583224
Bremen,2036,739821.7697490519
Bremen,2037,743250.7361427695
Bremen,2038,746695.5948521204
Bremen,2039,750156.4195294766
Hamburg,2025,1852709.222248134
Hamburg,2026,1852831.2752147971
Hamburg,2027,1852901.851701365
Hamburg,2028,1852942.660394254
Hamburg,2029,1852966.2561733823
Hamburg,2030,1852979.8991643859
Hamburg,2031,1852987.787423751
Hamburg,2032,1852992.3483247152
Hamburg,2033,1852994.9853777953
Hamburg,2034,1852996.5100847788
Hamburg,2035,1852997.3916480667
Hamburg,2036,1852997.901354793
Hamburg,2037,1852998.1960595157
Hamburg,2038,1852998.3664532995
Hamburg,2039,1852998.464972381
Hessen,2025,6277728.098919852
Hessen,2026,6277792.9859255925
Hessen,2027,6277826.181744163
Hessen,2028,6277843.164404236
Hessen,2029,6277851.852535143
Hessen,2030,6277856.297272748
Hessen,2031,6277858.571141824
Hessen,2032,6277859.734422616
Hessen,2033,6277860.329541239
Hessen,2034,6277860.633995787
Hessen,2035,6277860.78975056
Hessen,2036,6277860.869432561
Hessen,2037,6277860.91019678
Hessen,2038,6277860.931051193
Hessen,2039,6277860.941720025
Mecklenburg-Vorpommern,2025,1550437.7082346384
Mecklenburg-Vorpommern,2026,1525498.7398672532
Mecklenburg-Vorpommern,2027,1491897.5312477692
Mecklenburg-Vorpommern,2028,1447261.8765036024
Mecklenburg-Vorpommern,2029,1389070.4596410496
Mecklenburg-Vorpommern,2030,1315034.824726151
Mecklenburg-Vorpommern,2031,1223710.4044773488
Mecklenburg-Vorpommern,2032,1115263.1038680852
Mecklenburg-Vorpommern,2033,992148.7664304576
Mecklenburg-Vorpommern,2034,859323.7563920096
Mecklenburg-Vorpommern,2035,723669.0669213206
Mecklenburg-Vorpommern,2036,592666.4235840064
Mecklenburg-Vorpommern,2037,472819.4382787005
Mecklenburg-Vorpommern,2038,368484.8757993226
Mecklenburg-Vorpommern,2039,281506.23196743726
Niedersachsen,2025,8009382.36282805
