year,state,value
2017,Baden-Württemberg,80337
2017,Sachsen-Anhalt,19929
2019,Brandenburg,31729
2019,Hamburg,27986
2019,Saarland,4511
2021,Sachsen,33910
2022,Thüringen,21264
2022,Berlin,25224
2024,Bayern,150273
2024,Hessen,24287
2024,,50201
2025,Mecklenburg-Vorpommern,3415
2016,Baden-Württemberg,56046
2016,Sachsen-Anhalt,17255
2018,Thüringen,132
2019,Nordrhein-Westfalen,137643
2019,Rheinland-Pfalz,24967
2020,Baden-Württemberg,326
2021,Bayern,105963
2021,Hessen,21767
2022,Schleswig-Holstein,23371
2022,Niedersachsen,24897
2021,,38885
2023,Bremen,19165
2024,Sachsen,65616
2015,Niedersachsen,30551
2015,Schleswig-Holstein,47417
2014,Nordrhein-Westfalen,414
2017,Mecklenburg-Vorpommern,35318
2019,Bremen,28412
2023,Nordrhein-Westfalen,87735
2023,Rheinland-Pfalz,22077
2025,Baden-Württemberg,31
2025,Sachsen-Anhalt,267
2015,Mecklenburg-Vorpommern,18082
2016,Thüringen,18478
2017,Niedersachsen,30842
2017,Schleswig-Holstein,46228
2016,Berlin,38120
2023,Sachsen,59106
2024,Bremen,31875
2015,Brandenburg,17219
2015,Hamburg,21214
2015,Saarland,3994
2016,Sachsen,44117
2017,Bayern,149247
2017,Hessen,57214
2017,,70971
2023,Thüringen,20472
2023,Berlin,29527
2024,Baden-Württemberg,61524
2024,Sachsen-Anhalt,12178
2015,Bremen,23844
2018,Brandenburg,0
2018,Saarland,273
2019,Niedersachsen,35454
2019,Schleswig-Holstein,48321
2022,Nordrhein-Westfalen,48373
2022,Rheinland-Pfalz,14687
2024,Mecklenburg-Vorpommern,19783
2025,Hessen,0
2025,Bayern,3429
2025,,2309
2018,Rheinland-Pfalz,148
2018,Nordrhein-Westfalen,0
2019,Thüringen,27989
2019,Berlin,43999
2021,Mecklenburg-Vorpommern,10441
2022,Brandenburg,15509
2022,Hamburg,13251
2022,Saarland,1978
2016,Bremen,25059
2021,Niedersachsen,24449
2021,Schleswig-Holstein,26968
2022,Hessen,14984
2022,Bayern,85376
2022,,44496
2023,Baden-Württemberg,56485
2023,Sachsen-Anhalt,12402
2024,Berlin,38064
2024,Thüringen,20011
2025,Nordrhein-Westfalen,6267
2025,Rheinland-Pfalz,2733
2015,Baden-Württemberg,58454
2015,Sachsen-Anhalt,14293
2019,Bayern,136335
2019,Hessen,38126
2019,,73135
2021,Nordrhein-Westfalen,65117
2021,Rheinland-Pfalz,15652
2024,Saarland,2468
2024,Brandenburg,15659
2024,Hamburg,17912
2025,Niedersachsen,3499
2017,Bremen,26748
2019,Mecklenburg-Vorpommern,23202
2021,Thüringen,10650
2021,Berlin,23962
2022,Sachsen,17842
2024,Niedersachsen,23715
2024,Schleswig-Holstein,25474
2025,Brandenburg,239
2025,Hamburg,170
2025,Saarland,784
2015,Thüringen,20357
2015,Berlin,36948
2014,Hamburg,367
2016,Mecklenburg-Vorpommern,17387
2023,Brandenburg,16227
2023,Hamburg,19182
2023,Saarland,3183
2015,Bayern,115434
2015,Hessen,35216
2011,Nordrhein-Westfalen,0
2015,,48884
2016,Nordrhein-Westfalen,114612
2016,Rheinland-Pfalz,24122
2017,Brandenburg,32615
2017,Hamburg,29247
2017,Saarland,3059
2019,Baden-Württemberg,74552
2019,Sachsen-Anhalt,17820
2015,Nordrhein-Westfalen,120457
2015,Rheinland-Pfalz,24675
2014,Schleswig-Holstein,0
2016,Bayern,113656
2016,Hessen,29068
2017,Sachsen,59787
2016,,52568
2021,Baden-Württemberg,54646
2021,Sachsen-Anhalt,9781
2023,Niedersachsen,31447
2023,Schleswig-Holstein,32560
2022,Bremen,24186
2015,Sachsen,55862
2017,Nordrhein-Westfalen,147763
2017,Rheinland-Pfalz,31183
2016,Brandenburg,21068
2016,Hamburg,18337
2016,Saarland,3497
2023,Mecklenburg-Vorpommern,25693
2016,Niedersachsen,30669
2017,Thüringen,32607
2016,Schleswig-Holstein,46851
2017,Berlin,39306
2022,Baden-Württemberg,52949
2021,Bremen,26729
2023,Bayern,124175
2023,Hessen,29393
2022,Sachsen-Anhalt,7427
2023,,40230
2019,Sachsen,61369
2021,Brandenburg,16116
2021,Hamburg,13858
2021,Saarland,2419
2022,Mecklenburg-Vorpommern,10541
2024,Nordrhein-Westfalen,67035
2024,Rheinland-Pfalz,17584
2025,Berlin,474
2025,Thüringen,672
